Method,Precision,Recall,F1-Score,Threshold,dataset
smash,1.0,0.0,0.0,0.0,police
smash,0.9378415300546449,0.7704918032786885,0.8459698087977924,0.1,police
smash,0.921448087431694,0.7704918032786885,0.839235722747639,0.2,police
smash,0.7649590163934427,0.8524590163934426,0.8063422040280556,0.3,police
smash,0.4975442362737447,0.9344262295081968,0.6493407452519455,0.4,police
smash,0.3428929221962012,0.9508196721311475,0.5040212753408316,0.5,police
smash,0.32695810564663036,0.9508196721311475,0.4865919633572089,0.6,police
smash,0.32417707520166544,0.9508196721311475,0.48350545364210784,0.7,police
smash,0.32417707520166544,0.9508196721311475,0.48350545364210784,0.8,police
smash,0.32417707520166544,0.9508196721311475,0.48350545364210784,0.9,police
affinegap,1.0,0.0,0.0,0.0,police
affinegap,0.9959016393442623,0.05737704918032787,0.10850290234100912,0.1,police
affinegap,0.8689750789794715,0.1721311475409836,0.2873437382641846,0.2,police
affinegap,0.6191909647065539,0.5655737704918032,0.5911691294641909,0.3,police
affinegap,0.2026962130352872,0.8770491803278688,0.3292897540306892,0.4,police
affinegap,0.08402272932894851,0.9426229508196722,0.15429228328221387,0.5,police
affinegap,0.06508611274553548,0.9508196721311475,0.12183247167652059,0.6,police
affinegap,0.021484070059980955,0.9918032786885246,0.04205711469975462,0.7,police
affinegap,0.011689554803744805,1.0,0.023108975966471126,0.8,police
affinegap,0.010571266001597692,1.0,0.020921366670999288,0.9,police
jaccard,1.0,0.0,0.0,0.0,police
jaccard,1.0,0.00819672131147541,0.016260162601626018,0.1,police
jaccard,1.0,0.08196721311475409,0.1515151515151515,0.2,police
jaccard,0.9836065573770492,0.20491803278688525,0.3391746749576032,0.3,police
jaccard,0.8982240437158467,0.4262295081967213,0.5781246036912723,0.4,police
jaccard,0.775455373406193,0.5983606557377049,0.675493626342098,0.5,police
jaccard,0.5510503145518691,0.7704918032786885,0.6425519774630382,0.6,police
jaccard,0.3329994608555562,0.8278688524590164,0.4749546152066545,0.7,police
jaccard,0.1462561667792772,0.9508196721311475,0.2535161847741415,0.8,police
jaccard,0.01990099296475301,1.0,0.03902534285588399,0.9,police
jaccard_word,1.0,0.0,0.0,0.0,police
jaccard_word,1.0,0.0,0.0,0.1,police
jaccard_word,1.0,0.0,0.0,0.2,police
jaccard_word,1.0,0.0,0.0,0.3,police
jaccard_word,1.0,0.0,0.0,0.4,police
jaccard_word,1.0,0.0,0.0,0.5,police
jaccard_word,1.0,0.02459016393442623,0.048,0.6,police
jaccard_word,0.9815573770491803,0.09016393442622951,0.16515688179795004,0.7,police
jaccard_word,0.9579234972677596,0.13114754098360656,0.23070912126870274,0.8,police
jaccard_word,0.8932604735883425,0.20491803278688525,0.3333614306806718,0.9,police
lavenstein,1.0,0.0,0.0,0.0,police
lavenstein,1.0,0.0,0.0,0.1,police
lavenstein,1.0,0.01639344262295082,0.03225806451612903,0.2,police
lavenstein,1.0,0.13114754098360656,0.23188405797101452,0.3,police
lavenstein,1.0,0.21311475409836064,0.3513513513513513,0.4,police
lavenstein,0.9453551912568305,0.4098360655737705,0.5717874140666314,0.5,police
lavenstein,0.7775956284153006,0.6639344262295082,0.7162840701475286,0.6,police
lavenstein,0.5169354552551277,0.7868852459016393,0.6239644491958385,0.7,police
lavenstein,0.23195065654547264,0.8688524590163934,0.3661524853281988,0.8,police
lavenstein,0.051581134720154624,0.9918032786885246,0.09806230163395366,0.9,police
smash,1.0,0.0,0.0,0.0,disease
smash,0.8939393939393939,0.8848484848484849,0.8893707087914925,0.1,disease
smash,0.8497474747474748,0.8848484848484849,0.8669428305474309,0.2,disease
smash,0.6487121212121214,0.8878787878787879,0.7496825973086884,0.3,disease
smash,0.6123989898989901,0.896969696969697,0.7278583969219897,0.4,disease
smash,0.6049025974025977,0.9030303030303031,0.7244956001417143,0.5,disease
smash,0.5998809523809527,0.9030303030303031,0.7208817902723672,0.6,disease
smash,0.5992027417027421,0.9030303030303031,0.7203918663799219,0.7,disease
smash,0.5992027417027421,0.9030303030303031,0.7203918663799219,0.8,disease
smash,0.5992027417027421,0.9030303030303031,0.7203918663799219,0.9,disease
affinegap,1.0,0.0,0.0,0.0,disease
affinegap,0.9984848484848485,0.00909090909090909,0.018017771701982228,0.1,disease
affinegap,0.09566539908601684,0.9151515151515152,0.17322293224026858,0.2,disease
affinegap,0.04688267503722502,0.9575757575757575,0.08938889178154041,0.3,disease
affinegap,0.009727586999046113,0.9939393939393939,0.019266613548020364,0.4,disease
affinegap,0.009322879550157188,0.9939393939393939,0.01847249217818757,0.5,disease
affinegap,0.006217154589488444,0.996969696969697,0.012357248736788036,0.6,disease
affinegap,0.0031705361409821967,1.0,0.00632103122402036,0.7,disease
affinegap,0.003155153450450137,1.0,0.006290459535791006,0.8,disease
affinegap,0.0031495273434944604,1.0,0.006279277929452708,0.9,disease
jaccard,1.0,0.0,0.0,0.0,disease
jaccard,1.0,0.0,0.0,0.1,disease
jaccard,1.0,0.0,0.0,0.2,disease
jaccard,0.9908080808080807,0.01818181818181818,0.035708370116218746,0.3,disease
jaccard,0.9773970836026773,0.030303030303030304,0.0587835468782666,0.4,disease
jaccard,0.9643991209733149,0.04242424242424243,0.08127324730294885,0.5,disease
jaccard,0.9472926874075671,0.05757575757575758,0.10855370052817424,0.6,disease
jaccard,0.9028341851807558,0.10303030303030303,0.18495389940791293,0.7,disease
jaccard,0.5353408239453689,0.49393939393939396,0.5138074501694079,0.8,disease
jaccard,0.015873450101441026,0.990909090909091,0.031246362285587553,0.9,disease
jaccard_word,1.0,0.0,0.0,0.0,disease
jaccard_word,1.0,0.0,0.0,0.1,disease
jaccard_word,1.0,0.0,0.0,0.2,disease
jaccard_word,1.0,0.0,0.0,0.3,disease
jaccard_word,1.0,0.0,0.0,0.4,disease
jaccard_word,1.0,0.0,0.0,0.5,disease
jaccard_word,1.0,0.0,0.0,0.6,disease
jaccard_word,0.9984848484848485,0.0030303030303030303,0.006042268372071701,0.7,disease
jaccard_word,0.9977272727272727,0.006060606060606061,0.01204802744425386,0.8,disease
jaccard_word,0.9692908101999009,0.03333333333333333,0.06445026061205966,0.9,disease
lavenstein,1.0,0.0,0.0,0.0,disease
lavenstein,1.0,0.0,0.0,0.1,disease
lavenstein,1.0,0.0,0.0,0.2,disease
lavenstein,1.0,0.0030303030303030303,0.006042296072507554,0.3,disease
lavenstein,1.0,0.006060606060606061,0.012048192771084336,0.4,disease
lavenstein,1.0,0.006060606060606061,0.012048192771084336,0.5,disease
lavenstein,0.9956439393939394,0.00909090909090909,0.018017307857081655,0.6,disease
lavenstein,0.9812330869636372,0.024242424242424242,0.04731585903339036,0.7,disease
lavenstein,0.9603875981616368,0.048484848484848485,0.09230948340075124,0.8,disease
lavenstein,0.24587505372908244,0.803030303030303,0.3764784260682353,0.9,disease
smash,1.0,0.0,0.0,0.0,area_names
smash,0.9504310344827587,0.7931034482758621,0.8646690251907421,0.1,area_names
smash,0.9418103448275862,0.8017241379310345,0.8661395507437877,0.2,area_names
smash,0.8635057471264368,0.8017241379310345,0.8314688643598821,0.3,area_names
smash,0.707998084291188,0.853448275862069,0.7739487692585938,0.4,area_names
smash,0.6621647509578549,0.8620689655172413,0.7490080762421532,0.5,area_names
smash,0.6311029009304876,0.8620689655172413,0.728722844523432,0.6,area_names
smash,0.5980774493705531,0.8620689655172413,0.7062086415733634,0.7,area_names
smash,0.5944854953475647,0.8620689655172413,0.7036983645431268,0.8,area_names
smash,0.5944854953475647,0.8620689655172413,0.7036983645431268,0.9,area_names
affinegap,1.0,0.0,0.0,0.0,area_names
affinegap,1.0,0.23275862068965517,0.3776223776223776,0.1,area_names
affinegap,0.8645434227330778,0.4051724137931034,0.5517599061788021,0.2,area_names
affinegap,0.4595744356973945,0.7931034482758621,0.5819374227873229,0.3,area_names
affinegap,0.2625459344717692,0.9051724137931034,0.4070319483983504,0.4,area_names
affinegap,0.130718102099293,0.9568965517241379,0.2300147404358971,0.5,area_names
affinegap,0.036672354923259556,1.0,0.07075013575716362,0.6,area_names
affinegap,0.01818584192871291,1.0,0.03572204833307075,0.7,area_names
affinegap,0.012271372542143923,1.0,0.024245222921451388,0.8,area_names
